Job-id,name-of-company,name-of-job,Job-URL,location,salary,skills
1009363887382,"Connor, Clark & Lunn Financial Group","Portfolio Management Analyst, Quantitative Equity","https://www.glassdoor.ca/job-listing/portfolio-management-analyst-quantitative-equity-connor-clark-lunn-financial-group-JV_IC2278756_KO0,48_KE49,82.htm?jl=1009363887382",Vancouver,$90K - $180K(Employer Est.),Microsoft Excel
1009241383328,Home Trust Company,Intermediate Business Analyst,"https://www.glassdoor.ca/job-listing/intermediate-business-analyst-home-trust-company-JV_IC2281069_KO0,29_KE30,48.htm?jl=1009241383328",Toronto,$72K - $91K(Glassdoor Est.),"Bilingual, Data modeling, Customer service, Visio, Microsoft Office"
1009384879630,Enverus,Power Market Analyst - 24321,"https://www.glassdoor.ca/job-listing/power-market-analyst-24321-enverus-JV_IC2275123_KO0,26_KE27,34.htm?jl=1009384879630",Calgary,$80K - $95K(Glassdoor Est.),"Sales, Project planning, Data analysis skills, SQL, Agile"
1009384634082,"Raymond James Financial, Inc.",Operations Technical Analyst,"https://www.glassdoor.ca/job-listing/operations-technical-analyst-raymond-james-financial-inc-JV_IC2278756_KO0,28_KE29,56.htm?jl=1009384634082",Vancouver,$75K - $90K(Glassdoor Est.),"Power BI, Microsoft Excel, Writing skills, Data analysis skills, Microsoft Office"
1009373528059,Plusgrade,Risk & Payments Data Analyst/Analyste de DonnÃ©es Risques & Paiements,"https://www.glassdoor.ca/job-listing/risk-payments-data-analyst-analyste-de-donnÃ©es-risques-paiements-plusgrade-JV_IC2296722_KO0,64_KE65,74.htm?jl=1009373528059",Montreal,,"Computer science, Microsoft Excel, Schematics, Alteryx, Data analysis skills"
1009382185761,Transatlantic Business Consulting Inc.,Sr. Business Analyst,"https://www.glassdoor.ca/job-listing/sr-business-analyst-transatlantic-business-consulting-inc-JV_IC2286068_KO0,19_KE20,57.htm?jl=1009382185761",Ottawa,$80.00 - $100.00Â Per hour(Employer Est.),"Software deployment, LAN, WAN, Computer networking"
1009388267356,OMERS,Analyste des rapports sur les Investissements,"https://www.glassdoor.ca/job-listing/analyste-des-rapports-sur-les-investissements-omers-JV_IC2281069_KO0,45_KE46,51.htm?jl=1009388267356",Toronto,,"Microsoft Powerpoint, Investment, Power BI, Microsoft Excel, Microsoft SQL Server"
1009366496587,Klick Health,"Analyst, Marketing Analytics","https://www.glassdoor.ca/job-listing/analyst-marketing-analytics-klick-health-JV_IC2281069_KO0,27_KE28,40.htm?jl=1009366496587",Toronto,$75K - $92K(Glassdoor Est.),"Google Tag Manager, Data analysis skills, Tableau, SQL, Statistical analysis"
1009385050863,BC Public Service,ECON 24R - Economic Analyst,"https://www.glassdoor.ca/job-listing/econ-24r-economic-analyst-bc-public-service-JV_IC2279563_KO0,25_KE26,43.htm?jl=1009385050863",Victoria,$76K - $87K(Employer Est.),"Statistical software, Statistics, Power BI, R, Data analysis skills"
1009338850146,Source Energy Services Canada LP,Business Development Analyst,"https://www.glassdoor.ca/job-listing/business-development-analyst-source-energy-services-canada-lp-JV_IC2275123_KO0,28_KE29,61.htm?jl=1009338850146",Calgary,$60K - $82K(Glassdoor Est.),"Microsoft Excel, Oil & gas, Logistics, Microsoft Office, Analysis skills"
1008724159789,Togetherwork Talent Community,Evergreen - Business Analyst - Winnipeg (Remote for Winnipeg),"https://www.glassdoor.ca/job-listing/evergreen-business-analyst-winnipeg-remote-for-winnipeg-togetherwork-talent-community-JV_IC2286709_KO0,55_KE56,85.htm?jl=1008724159789",Winnipeg,$60K - $80K(Employer Est.),"Kanban, Analysis skills, Scrum, Agile, Business requirements"
1009322612737,Humber River Health,"Data Integrity Analyst, Surgical Program (NSQIP)","https://www.glassdoor.ca/job-listing/data-integrity-analyst-surgical-program-nsqip-humber-river-health-JV_IC2281069_KO0,45_KE46,65.htm?jl=1009322612737",Toronto,$71K - $80K(Glassdoor Est.),"Microsoft Powerpoint, Microsoft Excel, Microsoft Access, Writing skills, Microsoft Office"
1009369465788,The City of Maple Ridge,24-144 Business Solutions Analyst,"https://www.glassdoor.ca/job-listing/24-144-business-solutions-analyst-the-city-of-maple-ridge-JV_IC4032413_KO0,33_KE34,57.htm?jl=1009369465788",Maple Ridge,$45.43 - $53.67Â Per hour(Employer Est.),"Computer science, Business requirements"
1008105647780,Canadian Tire Corporation,Category Business Analyst ( Evergreen),"https://www.glassdoor.ca/job-listing/category-business-analyst-evergreen-canadian-tire-corporation-JV_IC2281069_KO0,35_KE36,61.htm?jl=1008105647780",Toronto,$55K - $71K(Glassdoor Est.),"Presentation skills, Retail management, Analytics"
1009317452306,SSMC BUSINESS SOLUTIONS INC.,business data analyst,"https://www.glassdoor.ca/job-listing/business-data-analyst-ssmc-business-solutions-inc-JV_IC4033126_KO0,21_KE22,49.htm?jl=1009317452306",Surrey,$40.00Â Per hour(Employer Est.),English
1009382323538,Intact,Senior Fraud Data Analyst,"https://www.glassdoor.ca/job-listing/senior-fraud-data-analyst-intact-JV_IC2296722_KO0,25_KE26,32.htm?jl=1009382323538",Montreal,$60K - $70K(Glassdoor Est.),"Bilingual, Power BI, Microsoft Excel, SAS, SQL"
1009386020599,Canadian Cancer Society,Senior Technical Business Analyst,"https://www.glassdoor.ca/job-listing/senior-technical-business-analyst-canadian-cancer-society-JV_IC2278756_KO0,33_KE34,57.htm?jl=1009386020599",Vancouver,$70K(Glassdoor Est.),"Microsoft Word, Microsoft Excel, Microsoft Outlook, Salesforce, Visio"
1009222611634,PepsiCo,Frito Lay Canada Business Analyst (Contract),"https://www.glassdoor.ca/job-listing/frito-lay-canada-business-analyst-contract-pepsico-JV_IC2275101_KO0,42_KE43,50.htm?jl=1009222611634",Lethbridge,$57K - $63K(Glassdoor Est.),"Microsoft Powerpoint, Microsoft Excel, Oracle, Procurement, SAP"
1009376341268,Ungava Tulattavik Health Center,Analyste spÃ©cialisÃ© en informatique - CybersÃ©curitÃ©/ Specialized Data Analyst,"https://www.glassdoor.ca/job-listing/analyste-spÃ©cialisÃ©-en-informatique-cybersÃ©curitÃ©-specialized-data-analyst-ungava-tulattavik-health-center-JV_KO0,74_KE75,106.htm?jl=1009376341268",Quebec,$221.92Â Per hour(Employer Est.),"Bilingual, French, English, Chef"
1009360457400,Colours of Punjabi Event Organization Inc.,data analyst - informatics and systems,"https://www.glassdoor.ca/job-listing/data-analyst-informatics-and-systems-colours-of-punjabi-event-organization-inc-JV_IC4033126_KO0,36_KE37,78.htm?jl=1009360457400",Surrey,$38.00Â Per hour(Employer Est.),"Microsoft SQL Server, English, Windows, Microsoft Office, Computer skills"
1009363912557,ServiceTitan,"Senior Data Analyst, Pricing and Finance","https://www.glassdoor.ca/job-listing/senior-data-analyst-pricing-and-finance-servicetitan-JV_KO0,39_KE40,52.htm?jl=1009363912557",British Columbia,,"Pricing, Microsoft Excel, Big data, Salesforce, Tableau"
1009367954565,Eastlink,Business Support Systems Analyst,"https://www.glassdoor.ca/job-listing/business-support-systems-analyst-eastlink-JV_IC2290928_KO0,32_KE33,41.htm?jl=1009367954565",Halifax,$68K - $79K(Glassdoor Est.),"Agile, Communication skills"
1009376311158,INNTECH FUTURE INC.,database analyst,"https://www.glassdoor.ca/job-listing/database-analyst-inntech-future-inc-JV_IC4031291_KO0,16_KE17,35.htm?jl=1009376311158",Beaumont,$42.00Â Per hour(Employer Est.),"Microsoft Access, Oracle, R, Microsoft SQL Server, English"
1009360202412,T&T Supermarket,Central Planning Analyst,"https://www.glassdoor.ca/job-listing/central-planning-analyst-tt-supermarket-JV_IC2280736_KO0,24_KE25,39.htm?jl=1009360202412",Markham,$50K - $53K(Glassdoor Est.),"Mandarin, Microsoft Excel, Cantonese, ERP systems, Data analysis skills"
1009337273988,Canon Canada,Program and Budget Associate Analyst,"https://www.glassdoor.ca/job-listing/program-and-budget-associate-analyst-canon-canada-JV_IC2288053_KO0,36_KE37,49.htm?jl=1009337273988",Brampton,$51K - $55K(Glassdoor Est.),"Microsoft Excel, Oracle, Microsoft Office, Analysis skills, Time management"
1009380767990,Loblaw Companies Limited,"Analyst, Supply Chain Replenishment","https://www.glassdoor.ca/job-listing/analyst-supply-chain-replenishment-loblaw-companies-limited-JV_IC2281069_KO0,34_KE35,59.htm?jl=1009380767990",Toronto,$52K - $59K(Glassdoor Est.),"Microsoft Excel, SAP, Supply chain, Workday"
1009269624354,Intelliware,Business System Analyst,"https://www.glassdoor.ca/job-listing/business-system-analyst-intelliware-JV_IC2281069_KO0,23_KE24,35.htm?jl=1009269624354",Toronto,$70K - $100K(Glassdoor Est.),"Jira, Azure, Business analysis, Databases, SQL"
1009379195874,eHealth Saskatchewan,Senior Business Analyst,"https://www.glassdoor.ca/job-listing/senior-business-analyst-ehealth-saskatchewan-JV_KO0,23_KE24,44.htm?jl=1009379195874",Saskatchewan,$42.39 - $51.58Â Per hour(Employer Est.),"Project management, IT, Business requirements"
1009323258048,Trojan Technologies,Supply Chain Analyst,"https://www.glassdoor.ca/job-listing/supply-chain-analyst-trojan-technologies-JV_IC2285502_KO0,20_KE21,40.htm?jl=1009323258048",London,$61K(Glassdoor Est.),"Microsoft Excel, Kanban, Writing skills, Presentation skills, Demand planning"
1009296951976,Vyoma Global Inc.,database analyst,"https://www.glassdoor.ca/job-listing/database-analyst-vyoma-global-inc-JV_IC4035434_KO0,16_KE17,33.htm?jl=1009296951976",North York,$43.00Â Per hour(Employer Est.),English
1009368251129,Porter Airlines Inc.,"Analyst, Reliability","https://www.glassdoor.ca/job-listing/analyst-reliability-porter-airlines-inc-JV_IC2281069_KO0,19_KE20,39.htm?jl=1009368251129",Toronto,$80K - $105K(Glassdoor Est.),"Microsoft Excel, Microsoft Access, R, Tableau, Analysis skills"
1009221734110,PHSA,"Data Analyst, Clinical Division, Provincial Lab Data Analytics - Provincial Laboratory Medicine Services (PLMS)","https://www.glassdoor.ca/job-listing/data-analyst-clinical-division-provincial-lab-data-analytics-provincial-laboratory-medicine-services-plms-phsa-JV_IC2278756_KO0,105_KE106,110.htm?jl=1009221734110",Vancouver,$72K - $104K(Employer Est.),"Statistical software, Statistics, Cognos, Oracle, Data mining"
1009390795075,IG Wealth Management,Senior Systems Analyst,"https://www.glassdoor.ca/job-listing/senior-systems-analyst-ig-wealth-management-JV_IC2281069_KO0,22_KE23,43.htm?jl=1009390795075",Toronto,$44K - $58K(Glassdoor Est.),"R, Data analysis skills, Application development, SQL, Quality assurance"
1009385910913,Apotex Inc.,"Analyst, Network-GIS-NS&UC S","https://www.glassdoor.ca/job-listing/analyst-network-gis-ns-uc-s-apotex-inc-JV_IC4035434_KO0,27_KE28,38.htm?jl=1009385910913",North York,,"Microsoft Powerpoint, QoS, Microsoft Excel, Microsoft Outlook, Avaya"
1009353272805,IT Chapter,Business Analyst,"https://www.glassdoor.ca/job-listing/business-analyst-it-chapter-JV_IC2286068_KO0,16_KE17,27.htm?jl=1009353272805",Ottawa,,"Bilingual, French, Business analysis, English, Analysis skills"
1009373357856,Spark Power,Senior IT Business Analyst,"https://www.glassdoor.ca/job-listing/senior-it-business-analyst-spark-power-JV_IC2286067_KO0,26_KE27,38.htm?jl=1009373357856",Oakville,$57K - $87K(Glassdoor Est.),"Oracle, SAP, Spark, NetSuite, Visio"
1009271317482,Maverick Innogarage Inc,"analyst, database","https://www.glassdoor.ca/job-listing/analyst-database-maverick-innogarage-inc-JV_IC2283157_KO0,16_KE17,40.htm?jl=1009271317482",Bowmanville,$44.00Â Per hour(Employer Est.),English
1009254919724,City of Burnaby,Power Platform Developer (Business Analyst 2),"https://www.glassdoor.ca/job-listing/power-platform-developer-business-analyst-2-city-of-burnaby-JV_IC2278200_KO0,43_KE44,59.htm?jl=1009254919724",Burnaby,$8K(Employer Est.),"SharePoint, IT, Business requirements, PowerShell"
1009384930914,Fraser Health,Senior Business Analyst,"https://www.glassdoor.ca/job-listing/senior-business-analyst-fraser-health-JV_IC4033126_KO0,23_KE24,37.htm?jl=1009384930914",Surrey,$38.12 - $54.80Â Per hour(Employer Est.),Business requirements
1009356973218,Nestle Operational Services Worldwide SA,Master Data & Supply Chain Solutions Analyst (12 Month Contract),"https://www.glassdoor.ca/job-listing/master-data-supply-chain-solutions-analyst-12-month-contract-nestle-operational-services-worldwide-sa-JV_IC2296722_KO0,60_KE61,101.htm?jl=1009356973218",Montreal,$54K - $58K(Glassdoor Est.),"Bilingual, French, Microsoft Excel, Customer service, SAP"
1009292346832,fusionSpan,Salesforce Technical Business Analyst,"https://www.glassdoor.ca/job-listing/salesforce-technical-business-analyst-fusionspan-JV_KO0,37_KE38,48.htm?jl=1009292346832",Remote,,"Jira, Salesforce, Business analysis, Accounting, Business requirements"
1009371591113,BC First Nations Justice Council,Policy Analyst,"https://www.glassdoor.ca/job-listing/policy-analyst-bc-first-nations-justice-council-JV_KO0,14_KE15,47.htm?jl=1009371591113",British Columbia,$60K - $79K(Employer Est.),"Program management, Management, Research, Analysis skills, Presentation skills"
1009288304118,Questrade Financial Group,Business Systems Analyst (Digital Investing),"https://www.glassdoor.ca/job-listing/business-systems-analyst-digital-investing-questrade-financial-group-JV_IC2281069_KO0,42_KE43,68.htm?jl=1009288304118",Toronto,$85K - $101K(Glassdoor Est.),"Jira, Investment, Power BI, Microsoft SQL Server, Confluence"
1009378077805,New Path Youth and Family Services,Research Analyst Student (RAS-0724-T),"https://www.glassdoor.ca/job-listing/research-analyst-student-ras-0724-t-new-path-youth-and-family-services-JV_IC2282530_KO0,35_KE36,70.htm?jl=1009378077805",Barrie,$20.01 - $22.54Â Per hour(Employer Est.),"French, Power BI, Microsoft Excel, Data mining, Customer service"
1009332192156,Fidelity Investments,Application Support Analyst,"https://www.glassdoor.ca/job-listing/application-support-analyst-fidelity-investments-JV_IC2281069_KO0,27_KE28,48.htm?jl=1009332192156",Toronto,$63K - $84K(Glassdoor Est.),"Customer service, Salesforce, Business analysis, Analysis skills, Financial services"
1009373152021,Alliance Door Products,Pricing Analyst,"https://www.glassdoor.ca/job-listing/pricing-analyst-alliance-door-products-JV_IC2275123_KO0,15_KE16,38.htm?jl=1009373152021",Calgary,$53K - $70K(Glassdoor Est.),"Pricing, Microsoft Excel, Microsoft Outlook, Analysis skills, Project management"
1008783968767,Scarsin,Forecast Business Analyst,"https://www.glassdoor.ca/job-listing/forecast-business-analyst-scarsin-JV_IC2285704_KO0,25_KE26,33.htm?jl=1008783968767",Uxbridge,$60K - $100K(Glassdoor Est.),"Microsoft Powerpoint, Microsoft Excel, Business intelligence, Communication skills, Data warehouse"
1009340580567,Element Fleet Management,"Analyst, Workforce Planning","https://www.glassdoor.ca/job-listing/analyst-workforce-planning-element-fleet-management-JV_IC2280741_KO0,26_KE27,51.htm?jl=1009340580567",Mississauga,$70K - $80K(Glassdoor Est.),"Power BI, Microsoft Excel, Data analysis skills, Microsoft Office, Presentation skills"
1009379094139,Burnaby Digital Media Inc,database analyst,"https://www.glassdoor.ca/job-listing/database-analyst-burnaby-digital-media-inc-JV_IC2291416_KO0,16_KE17,42.htm?jl=1009379094139",Regina,$41.00Â Per hour(Employer Est.),English
1009359990134,Parallels,BI Engineer,"https://www.glassdoor.ca/job-listing/bi-engineer-parallels-JV_IC2281069_KO0,11_KE12,21.htm?jl=1009359990134",Toronto,$58K - $113K(Glassdoor Est.),"Power BI, Data modeling, Business intelligence, Tableau, PostgreSQL"
1009380919863,CGI,Sr. Business Analyst â€“ Liquidity Reporting,"https://www.glassdoor.ca/job-listing/sr-business-analyst-liquidity-reporting-cgi-JV_IC2281069_KO0,39_KE40,43.htm?jl=1009380919863",Toronto,$69K - $95K(Glassdoor Est.),"Jira, Data mining, SQL, Project management, Confluence"
1009362044902,Enbridge Contingent Talent Community,"Supply Chain Master Data Analyst (Hybrid: Calgary, AB) - Hybrid","https://www.glassdoor.ca/job-listing/supply-chain-master-data-analyst-hybrid-calgary-ab-hybrid-enbridge-contingent-talent-community-JV_IC2275123_KO0,57_KE58,94.htm?jl=1009362044902",Calgary,$56K - $78K(Glassdoor Est.),"Power BI, Microsoft Excel, Oracle, Accounts payable, Customer service"
1009309680837,Rainbook Enterprise Inc,database analyst,"https://www.glassdoor.ca/job-listing/database-analyst-rainbook-enterprise-inc-JV_IC2303209_KO0,16_KE17,40.htm?jl=1009309680837",Richmond,$37.00Â Per hour(Employer Est.),English
1009384733861,Mastercard,Senior Technology Risk Analyst,"https://www.glassdoor.ca/job-listing/senior-technology-risk-analyst-mastercard-JV_IC2281069_KO0,30_KE31,41.htm?jl=1009384733861",Toronto,$96K - $101K(Glassdoor Est.),
